Category,Question,Answer
Investment & ROI,Question 131: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Pricing & Budgeting,Kya 2 Crore ke budget me Gulgasht Colony me 12 Marla ka ghar mil sakta hai?,"Ji haan, is budget me Gulgasht Colony ke andar 12 Marla ka ghar asani se mil sakta hai agar aap condition par compromise karein."
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Investment & ROI,Question 136: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Location & Amenities,Question 139: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Pricing & Budgeting,Kya 1 Crore ke budget me Bosan Road me 12 Marla ka ghar mil sakta hai?,"Ji haan, is budget me Bosan Road ke andar 12 Marla ka ghar asani se mil sakta hai agar aap condition par compromise karein."
Investment & ROI,Question 142: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Investment & ROI,Question 144: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Legal & Documentation,Question 145: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Location & Amenities,Question 146: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Pricing & Budgeting,Kya 4 Crore ke budget me Royal Orchard me 5 Marla ka ghar mil sakta hai?,"Ji haan, is budget me Royal Orchard ke andar 5 Marla ka ghar asani se mil sakta hai agar aap condition par compromise karein."
Legal & Documentation,Question 150: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Legal & Documentation,Question 152: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Pricing & Budgeting,Kya 75 Lakhs ke budget me Model Town me 1 Kanal ka ghar mil sakta hai?,"Ji haan, is budget me Model Town ke andar 1 Kanal ka ghar asani se mil sakta hai agar aap condition par compromise karein."
Investment & ROI,Question 154: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Location & Amenities,Question 155: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Pricing & Budgeting,Kya 50 Lakhs ke budget me Shalimar Colony me 7 Marla ka ghar mil sakta hai?,"Ji haan, is budget me Shalimar Colony ke andar 7 Marla ka ghar asani se mil sakta hai agar aap condition par compromise karein."
Investment & ROI,Question 157: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
General Inquiry,Question 159: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Investment & ROI,Question 160: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Investment & ROI,Question 161: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Location & Amenities,Question 163: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Location & Amenities,Question 164: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Investment & ROI,Question 169: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Legal & Documentation,Question 170: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
General Inquiry,Question 171: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Location & Amenities,Question 174: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Legal & Documentation,Question 175: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
General Inquiry,Question 176: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Legal & Documentation,Question 181: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
Investment & ROI,Question 183: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Location & Amenities,Question 184: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Legal & Documentation,Question 185: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Investment & ROI,Question 186: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
General Inquiry,Question 187: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
General Inquiry,Question 188: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
General Inquiry,Question 189: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Dealer Commission & Process,Multan me property dealer ka standard commission kitna hota hai?,"Standard commission buyer se 1% aur seller se 1% liya jata hai, yani total deal ka 2% banta hai."
Property Features,Corner plot wale ghar ki price normal ghar se zyada kyun hoti hai?,"Corner plot wale ghar me ventilation behtar hoti hai, light zyada aati hai, aur parking space extra milti hai, isliye ispar 10% tak premium hota hai."
General Inquiry,Question 194: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Pricing & Budgeting,Kya 4 Crore ke budget me Royal Orchard me 10 Marla ka ghar mil sakta hai?,"Ji haan, is budget me Royal Orchard ke andar 10 Marla ka ghar asani se mil sakta hai agar aap condition par compromise karein."
Location & Amenities,Question 196: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Investment & ROI,Question 197: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Investment & ROI,Question 198: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Negotiation & Token Money,Agar buyer token money dene ke baad deal se mukar jaye to kya hota hai?,Agar buyer back out karega to rules ke mutabiq uska token money ya bayana forfeit (zabt) ho jata hai aur paise wapis nahi miltay.
General Inquiry,Question 200: Client aur dealer ke darmiyan deal finalize karne ka asan tareeqa kya hai?,Sub se behtar tareeqa ye hai ke dono parties face-to-face baith kar saari baatein written agreement (Bayana) par likh lein taake koi jhoot na bol sakay.
Pricing & Budgeting,15000 sqare feet ka plot kitny RS ka hai?,100 marla ka plot 1600000 ka hota hai
